Result Log 
Problem Instance Path = ../problem1.txt 
Random Seed = 1507367594.836379 
Parameters used = {'fitness evaluations': 100, 'number of runs': 30, 'problem solution location': 'solutions/prob1_random_solution.txt'}

Run 1
1	3
2	4
4	11
15	16
31	18

Run 2
2	2
4	6
9	11
15	13
55	14
88	15
96	21

Run 3
1	7
4	10
23	11
63	13

Run 4
1	1
2	2
3	4
6	9
10	10
24	16
78	17

Run 5
1	1
2	7
3	13
30	14
40	15
84	21

Run 6
1	3
2	7
15	9
17	18
85	21

Run 7
1	3
2	6
5	7
19	10
35	12

Run 8
1	6
2	7
10	10
12	12
43	13
58	18

Run 9
1	2
4	9
5	15
57	18

Run 10
1	4
3	5
5	9
7	11
40	14
44	19

Run 11
1	7
5	16
34	20

Run 12
1	3
3	6
8	7
13	16

Run 13
1	6
5	10
9	12
27	13

Run 14
1	9
10	10
13	15
31	16

Run 15
1	2
2	9
9	14
50	19

Run 16
1	3
5	6
7	7
8	9
13	13
31	14

Run 17
1	10
17	16
24	17
29	21

Run 18
1	9
20	10
23	13
25	17
90	22

Run 19
1	8
3	11
14	14
40	16
41	18

Run 20
1	4
3	12
20	13
75	17

Run 21
1	1
2	7
4	8
9	14
11	16

Run 22
1	5
4	7
7	8
8	12
17	17

Run 23
1	4
2	9
7	13
30	15
65	18

Run 24
2	8
3	11
17	14
34	19

Run 25
2	7
11	11
45	12
57	14
75	20

Run 26
1	2
5	13

Run 27
1	2
2	13
6	18
30	19

Run 28
1	7
2	15

Run 29
1	1
2	9
14	14
50	16

Run 30
1	4
3	12
14	14
87	16
100	20

